# phase_exponent a b result
0 4202002117 1152412589 4842440138635450913
0 234172997 3779706121 885105110133814637
0 3116693361 2201546056 6861543976670934216
0 2078170358 3672737511 7632574228074898938
0 4044670547 1593528082 6445296099082800854
0 1747426725 146260613 255579703971082425
0 3948118623 602457599 2378574066179766177
0 683534591 4219373036 2884087422438688276
0 4272548351 3430517697 14657052729393667647
0 1773733603 3567227837 6327311884043906711
0 786616716 4145739991 3261108377110289556
0 1486484324 1887929301 2806377310756777524
0 2709247660 4857566 13160349318795560
0 146863012 2337043723 343225280335473676
0 1662942630 1880937320 3127890853785951600
0 47687642 1018960300 48591813998612600
0 297935182 682914078 203464130119292196
0 731407063 2069562030 1513692286058617890
0 990533598 2684698489 2659284053854333422
0 1178380289 2098350392 2472654741348223288
0 3342087376 2143598408 7164093178590497408
0 1786709832 527508979 942505479247581528
0 3682667788 144618647 532582432851042836
0 3859019113 2657640294 10255884690024939222
0 3844893119 1624403657 6245658443277736183
0 4070238040 391135820 1592015893370592800
0 2473326836 1696581934 4196201626834980824
0 2882680871 3833036931 11049422238830246901
0 3786032882 1571897117 5951254172083001194
0 2335192632 565232078 1319925783915649296
0 611114229 1705139464 1042034988879833256
0 2235272574 2876903196 6430662812071746504
0 2276779848 3021762292 6879887491871891616
0 771593357 1202645612 927953365044399484
0 398192396 1383633324 550952268469004304
0 792497468 3381934450 2680174488566972600
0 2995315615 1818272003 5446298522903226845
0 3489149922 2416204582 8430500028821342604
0 2819921009 3073662918 8667486637052444262
0 1832500022 2572018275 4713223545521902050
0 122214843 867000053 105960275358386679
0 18406219 877663842 16154472884233398
0 2812648752 3095528341 8706633925094280432
0 2274697742 2069665227 4707862818552817434
0 1961450268 574486021 1126825759852703628
0 736816610 3106454140 2288887008555265400
0 529577179 3273178455 1733400612562478445
0 773184309 374424936 289499485413529224
0 552106317 2708813669 1495553138230847073
0 2574429392 936612587 2411242972889957104
0 1318942270 859425529 1133532658115210830
0 2383065497 2446847087 5830996869464657239
0 1843600846 311544600 574363888126731600
0 2353151243 726242253 1708957860366070479
0 3196841925 3058239182 9776707233695305350
0 3352225397 916349542 3071810207221718174
0 643047945 2161512565 1389956213014928925
0 4122055515 3573491476 14730130246451290140
0 3664000443 992766496 3637496881139557728
0 3521602182 2420078321 8522553095844496422
0 1945710990 2565861078 4992424098277847220
0 4088595697 659477001 2696334828559064697
0 3489508958 3877641093 13531063329932411094
0 1026543447 2261817090 2321853512052109230
0 2950285394 3546141560 10462129649524374640
0 3647169541 2890505814 10542164762904211374
0 3233659074 3961017201 12808579214283731874
0 3863905739 1676953454 6479590074946472506
0 2272325975 3944626547 8963477364422658325
0 2882742690 864715397 2492751989632197930
0 326667920 2881110158 941166262604731360
0 2851917301 3522531184 10045967626961614384
0 628161966 181335455 113908035918304530
0 3110157077 2671820581 8309781688471401737
0 3875528538 17332148 67171234198839624
0 1595890547 1124792234 1795045293579611998
0 301062051 1742969579 524741996284346529
0 186076160 553351737 102965566350289920
0 2219231547 3964540970 8798234389997980590
0 669695743 455584110 305102739045443730
0 3174292053 3158278751 10025299140458065803
0 2618572455 1613272281 4224470357441619855
0 2148295089 3640768952 7821446059765276728
0 2882526906 22751119 65580712659107814
0 647774479 1291796123 836792560550544917
0 1968435273 4234730346 8335792584709894458
0 198400404 799243488 158570230913569152
0 2351259089 656980703 1544731849226359567
0 3407873273 646726070 2203960488905327110
0 661948108 382476744 253179757044800352
0 2957286218 3182194652 9410660387352906136
0 4269521380 1059784309 4524771765464026420
0 1389768815 2780757068 3864609455197234420
0 894682647 1569873036 1404538163302406292
0 1084066461 833859916 903959568107877276
0 3579109726 589833353 2111078290441491278
0 346042353 3246954069 1123583626119684357
0 3332642285 4034379434 13445143495482766690
0 1123408626 265936562 298755427719583812
0 3246591263 390213294 1266863071006850322
